ScientificName ,Genus,CommonName,Group,CommercialImportance,Objective,Quality,Site,Min2014,Max2014,Avg2014,Min2018,Max2018,Avg2018
Hexaplex nigritus,Hexaplex,Caracol chino negro,invertebrate,Pesca artesanal,Si,Segunda,RGI,"$2,000 ","$2,500 ","$2,250 ","$4,000 ","$4,000 ","$4,000 "
Hexaplex princeps,Hexaplex,Caracol chino,invertebrate,Pesca artesanal,Si,Segunda,RGI,"$2,000 ","$2,000 ","$2,000 ","$4,000 ","$4,000 ","$4,000 "
Holothuria impatiens,Holothuria,Pepino,invertebrate,Pesca artesanal,Si,Primera,RGI,"$4,000 ","$4,000 ","$4,000 ",$0 ,$0 ,$0 
Holothuria lubrica,Holothuria,Pepino,invertebrate,Pesca artesanal,Si,Primera,RGI,"$4,000 ","$4,000 ","$4,000 ",$0 ,$0 ,$0 
Hoplopagrus guentherii,Hoplopagrus,Pargo coconaco,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$2,250 ","$2,250 ","$2,250 ","$2,250 ","$2,500 ","$2,375 "
Hyporthodus acanthistius,Hyporthodus,Baqueta,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$3,000 ","$3,750 ","$3,375 ",$350 ,"$5,000 ","$2,675 "
Hyporthodus niphobles,Hyporthodus,Baqueta plomuda,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$3,000 ","$3,750 ","$3,375 ",$0 ,$0 ,"$4,500 "
Isostichopus fuscus,Isostichopus,Pepino de mar,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,"$15,000 ","$17,500 ","$16,250 ","$25,000 ","$25,000 ","$25,000 "
Litopenaeus stylirostris,Litopenaeus,Camaron azul,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,"$7,500 ","$12,500 ","$10,000 ","$10,000 ","$10,000 ","$10,000 "
Lutjanus argentiventris,Lutjanus,Pargo amarillo,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$1,750 ","$2,250 ","$2,000 ","$2,250 ","$2,500 ","$2,375 "
Lutjanus guttatus,Lutjanus,Pargo lunarejo,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$1,750 ","$2,250 ","$2,000 ","$2,250 ","$2,500 ","$2,375 "
Lutjanus novemfasciatus,Lutjanus,Pargo dienton,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$1,750 ","$2,250 ","$2,000 ","$2,250 ","$2,500 ","$2,375 "
Lutjanus peru,Lutjanus,Huachinango,fish,Pesca artesanal,Si,Primera,RGI/Baja,"$1,750 ","$2,250 ","$2,000 ","$2,500 ","$4,000 ","$3,250 "
Megapitaria squalida,Megapitaria,Almeja chocolata,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,$500 ,$500 ,$500 ,"$2,000 ","$2,000 ",#VALUE!
Microlepidotus inornatus,Microlepidotus,Ronco rayadillo,fish,Pesca artesanal,No,Segunda,RGI/Baja,$250 ,$250 ,$250 ,$0 ,$0 ,$0 
Mugil cephalus,Mugil,Lisa cabezona,fish,Pesca artesanal,Si,Segunda,RGI,$300 ,$600 ,$450 ,$600 ,"$1,000 ",$800 
Mugil curema,Mugil,Lisa blanca,fish,Pesca artesanal,Si,Segunda,RGI,$300 ,$600 ,$450 ,$0 ,$0 ,$750 
