"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"603","Squatina","MT",2015,491.9625009,58.96961695,825.7900322,14.0771,NA,NA,"No MPA",0.028614173
"604","Squatina","MT_20",2005,1592.924338,986.2835244,2972.45458,121.76166,NA,NA,"No MPA",0.076439073
"605","Squatina","MT_20",2006,1499.263641,926.5505769,2723.018297,99.88308,NA,NA,"No MPA",0.066621425
"606","Squatina","MT_20",2007,1417.569046,864.4921445,2504.784385,215.06016,NA,NA,"No MPA",0.151710536
"607","Squatina","MT_20",2008,1280.561857,766.2981948,2203.304916,243.50328,NA,NA,"No MPA",0.19015347
"608","Squatina","MT_20",2009,1100.913389,625.0816123,1822.863343,94.60548,NA,NA,"No MPA",0.085933627
"609","Squatina","MT_20",2010,915.8656326,467.7135233,1451.024221,47.97702,NA,NA,"No MPA",0.052384344
"610","Squatina","MT_20",2011,787.7147865,339.8884623,1218.045702,56.59254,NA,NA,"No MPA",0.071843948
"611","Squatina","MT_20",2012,730.5789818,272.2004484,1128.320387,61.9911,NA,NA,"No MPA",0.084852017
"612","Squatina","MT_20",2013,679.8885283,208.217825,1063.505691,43.34934,NA,NA,"No MPA",0.063759481
"613","Squatina","MT_20",2014,626.6282277,140.1972983,1005.758238,30.010764,NA,NA,"No MPA",0.047892455
"614","Squatina","MT_20",2015,582.3636215,68.84753406,983.0336359,16.89252,NA,NA,"No MPA",0.029006826
"615","Squatina","MT_40",2005,1870.777456,1157.640393,3478.214386,142.05527,NA,NA,"No MPA",0.075933815
"616","Squatina","MT_40",2006,1757.41676,1089.246377,3166.374432,116.53026,NA,NA,"No MPA",0.066307698
"617","Squatina","MT_40",2007,1657.646951,1013.048103,2909.504727,250.90352,NA,NA,"No MPA",0.151361253
"618","Squatina","MT_40",2008,1497.578398,894.7228953,2567.978592,284.08716,NA,NA,"No MPA",0.189697688
"619","Squatina","MT_40",2009,1287.252355,728.8247519,2124.18487,110.37306,NA,NA,"No MPA",0.085743141
"620","Squatina","MT_40",2010,1072.914929,542.8136798,1692.372351,55.97319,NA,NA,"No MPA",0.052169271
"621","Squatina","MT_40",2011,929.1133811,396.6340392,1429.268057,66.02463,NA,NA,"No MPA",0.071061973
"622","Squatina","MT_40",2012,860.0006401,318.1125416,1326.407566,72.32295,NA,NA,"No MPA",0.084096391
"623","Squatina","MT_40",2013,801.3221544,247.0359459,1247.515809,50.57423,NA,NA,"No MPA",0.06311348
"624","Squatina","MT_40",2014,737.56568,165.3454526,1181.208824,35.012558,NA,NA,"No MPA",0.047470427
"625","Squatina","MT_40",2015,685.3437236,81.83292851,1156.026782,19.70794,NA,NA,"No MPA",0.028756286
"626","Squatina","MT_60",2005,2135.426575,1318.044496,3973.796902,162.34888,NA,NA,"No MPA",0.07602644
"627","Squatina","MT_60",2006,2013.078043,1239.958533,3636.680962,133.17744,NA,NA,"No MPA",0.066156124
"628","Squatina","MT_60",2007,1908.230096,1154.385026,3332.94225,286.74688,NA,NA,"No MPA",0.150268503
"629","Squatina","MT_60",2008,1721.899102,1022.913058,2942.613277,324.67104,NA,NA,"No MPA",0.188554045
"630","Squatina","MT_60",2009,1477.160784,831.1494646,2431.532176,126.14064,NA,NA,"No MPA",0.085393981
"631","Squatina","MT_60",2010,1226.876176,616.5707795,1936.823852,63.96936,NA,NA,"No MPA",0.052140029
"632","Squatina","MT_60",2011,1060.00946,453.9728667,1628.693849,75.45672,NA,NA,"No MPA",0.07118495
"633","Squatina","MT_60",2012,980.0902349,364.2716268,1512.90955,82.6548,NA,NA,"No MPA",0.084333867
"634","Squatina","MT_60",2013,910.0616144,280.3599638,1425.301081,57.79912,NA,NA,"No MPA",0.063511216
"635","Squatina","MT_60",2014,840.2594348,188.6898806,1348.005385,40.014352,NA,NA,"No MPA",0.047621425
"636","Squatina","MT_60",2015,781.8615793,93.81459109,1316.939085,22.52336,NA,NA,"No MPA",0.02880735
"637","Atrina","MT",2015,14138.4746171474,9660.39849178609,22935.4737754314,333.307225033084,221.961505213908,377.996300152457,"MPA 2015",0.0261386194005739
"638","Atrina","MT",2016,15478.6020950397,9447.22955548853,30856.6357720573,340.293834118071,213.168559900502,452.524785252622,"MPA 2015",0.024104625305544
"639","Atrina","MT",2017,16732.4690624282,9242.36197720039,40279.7170684786,345.651466667708,204.866107341561,537.997846862535,"MPA 2015",0.0224093940132704
"640","Atrina","MT",2018,17869.4504506799,9045.34182851678,50629.2558034211,349.022583234946,197.016585239173,626.202422175303,"MPA 2015",0.0209859889032386
