"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"4706","Scomberomorus","MT_20",2023,9846.16792791362,3222.20197223359,0,4399.65582621351,407.394829179895,0,"No MPA",0.434206270585646
"4707","Scomberomorus","MT_20",2024,9500.47704838295,3811.20028692924,0,4387.01176829527,482.482544061865,0,"No MPA",0.445555245493855
"4708","Scomberomorus","MT_20",2025,9118.26534058675,4456.51977469266,0,4333.37247357823,569.803051562552,0,"No MPA",0.456121566476054
"4709","Scomberomorus","MT_20",2026,8718.82911074516,5140.56586887503,0,4246.52990821688,669.924565163213,0,"No MPA",0.465716860565019
"4710","Scomberomorus","MT_20",2027,8317.68811892067,5837.85544734674,0,4134.5602461481,782.708457214073,0,"No MPA",0.474210492444752
"4711","Scomberomorus","MT_20",2028,7926.70598174742,6516.864995477,0,4005.1837180185,907.050077421966,0,"No MPA",0.481526075605997
"4712","Scomberomorus","MT_20",2029,7554.48966460295,7143.76179667696,0,3865.34146042087,1040.70511759049,0,"No MPA",0.487635276156511
"4713","Scomberomorus","MT_20",2030,7206.91051204346,7687.31111628223,0,3720.96487346227,1180.29280883811,0,"No MPA",0.492550130936984
"4714","Scomberomorus","MT_20",2031,6887.64498980148,8123.58381258244,0,3576.89694217991,1321.53319875721,0,"No MPA",0.496314882251217
"4715","Scomberomorus","MT_20",2032,6598.67661957148,8439.0114828262,0,3436.92154752488,1459.6949998168,0,"No MPA",0.498998068659741
"4716","Scomberomorus","MT_20",2033,6340.73061578793,8630.99763784396,0,3303.86074456174,1590.14105950339,0,"No MPA",0.500685354812294
"4717","Scomberomorus","MT_20",2034,6113.63185557965,8706.30344322801,0,3179.70750644459,1708.81864935815,0,"No MPA",0.501473363105406
"4718","Scomberomorus","MT_20",2035,5916.58799727393,8678.16363373659,0,3065.76995044849,1812.57944157082,0,"No MPA",0.501464599581752
"4719","Scomberomorus","MT_40",2015,10428.264177351,832.512456802835,0,3312.7791544614,130.750060280812,80232.3820508376,"No MPA",0.347022936827133
"4720","Scomberomorus","MT_40",2016,11197.684604653,1006.16051911809,0,3691.38860801944,152.003050692346,0,"No MPA",0.353979199724986
"4721","Scomberomorus","MT_40",2017,11812.2037077673,1218.73602319604,0,4061.5990472,177.576141387328,0,"No MPA",0.362717757339965
"4722","Scomberomorus","MT_40",2018,12242.9020256157,1477.89400386413,0,4406.14738427461,208.34421456281,0,"No MPA",0.373016542322011
"4723","Scomberomorus","MT_40",2019,12478.1134985266,1791.96370406283,0,4708.33635289747,245.33676482331,0,"No MPA",0.384576821986017
"4724","Scomberomorus","MT_40",2020,12523.5412698038,2169.47280001329,0,4954.32267131173,289.745790541641,0,"No MPA",0.397041000780827
"4725","Scomberomorus","MT_40",2021,12399.1014242916,2618.32259118387,0,5134.87660912114,342.920368647947,0,"No MPA",0.410017941291264
"4726","Scomberomorus","MT_40",2022,12133.9359788194,3144.52995452675,0,5246.19938507834,406.338088822738,0,"No MPA",0.423111256659317
"4727","Scomberomorus","MT_40",2023,11761.2113699118,3750.51543854882,0,5289.74009005911,481.539971391853,0,"No MPA",0.435945937022636
"4728","Scomberomorus","MT_40",2024,11313.8443282991,4433.05573953448,0,5271.25530601484,570.012916638308,0,"No MPA",0.448189828430436
