"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Revenue_hi","Status"
"1","Atrina","MT",2015,253.755321829,253.755321829,1720.2581321805,402.705812922053,14069.0760292584,8660120.13270412,0.031580995501443,8660120.13270412,8660120.13270412,196.6589639403,196.6589639403,0,262.308625695718,9620.05137130428,4863644.00733271,0.0265431157917084,4863644.00733271,2015,331.737680082,331.737680082,6643.23489558384,646.912693266108,22666.5573823177,15377345.4401553,0.0388064527153304,15377345.4401553,15377345.4401553,"MPA 2015"
"2","Atrina","MT",2016,279.974612982243,279.609974428588,1683.74209830375,494.78443826057,15257.669050748,10538747.8358774,0.0352140882724484,10036902.7008357,10538747.8358774,191.439022288955,191.201509358137,0,307.962617957115,9311.85124041635,5738160.07813844,0.0320523416259621,5464914.36013184,2016,451.064491908123,450.478731034443,8308.28856768092,940.175354980123,30034.0848341448,21961660.2702891,0.0415324593042195,20915866.9240849,21961660.2702891,"MPA 2015"
"3","Atrina","MT",2017,303.627614109885,302.839471549963,1616.14664499114,602.661009115172,16270.366544064,12727393.3283479,0.0396016873890671,11544120.9327419,12727393.3283479,185.305839684285,184.794201950508,0,357.350310083277,8953.9892925993,6696957.54054426,0.0384821119688689,6074337.90525557,2017,597.678288199482,596.110867643134,9828.8131304549,1359.76589203864,38501.5646520048,31102952.7025019,0.0453931352712196,28211294.9682556,31102952.7025019,"MPA 2015"
"4","Atrina","MT",2018,323.780294226874,322.525147073855,1532.45222187348,727.006015435416,17074.5576033491,15243609.3555969,0.0448567184246625,13168002.8986907,15243609.3555969,178.184386922726,177.359360332056,0,409.006060780869,8544.15820522776,7716892.57125957,0.0458911251952019,6666141.94688226,2018,766.181136574895,763.165413092122,10860.4431879022,1947.99589667265,47410.9962197515,43520691.9985011,0.0507951718969035,37594810.0624132,43520691.9985011,"MPA 2015"
"5","Atrina","MT",2019,339.783696306646,338.032091097159,1448.63645476176,867.931626933609,17653.5108259677,18096557.5532699,0.0510952653043065,14888082.6842889,18096557.5532699,170.028748284032,168.849796475279,0,460.753644868841,8082.22560855016,8761101.04812592,0.0543026863182057,7207779.51419494,2019,943.478824773056,938.578345131355,11118.3890516891,2746.37920678826,55778.1055850107,59893528.1151487,0.0582294983669559,49274553.80435,59893528.1151487,"MPA 2015"
"6","Atrina","MT",2020,351.304865436758,349.036348470273,1378.40010306046,1024.88272288434,18004.7596891774,21284421.5887415,0.0584327857966212,16676901.2529251,21284421.5887415,160.836289610148,159.263599743209,0,509.731140430353,7570.92177825287,9778388.40312485,0.0636909482827166,7661623.17974005,2020,1109.98430114171,1102.91790648483,10586.635211803,3782.29502497737,62575.3793771794,80681352.3047048,0.0682441281934928,63215950.6767965,80681352.3047048,"MPA 2015"
"7","Atrina","MT",2021,358.294717814629,355.491182994864,1331.08120507931,1196.50811810244,18136.5292413345,24791109.4737438,0.0669791901718772,18499507.5890118,24791109.4737438,150.661343387232,148.658403133167,0,552.56917434337,7016.34966365543,10705245.2250895,0.0739690884448881,7988418.8117325,2021,1245.25004960587,1235.93782748694,9600.59951855819,5055.33953414439,67111.3271394743,105961682.836942,0.0813966968986037,79070239.1864533,105961682.836942,"MPA 2015"
"8","Atrina","MT",2022,360.916931902556,357.556685197623,1311.04676813184,1380.50147905619,18063.7142837052,28582178.8370901,0.076832515152204,20312820.8739602,28582178.8370901,139.625358306743,137.161941038243,0,585.748606760031,6428.13763962691,11471318.3079614,0.0849827378228383,8152451.75344804,2022,1335.51541007554,1323.97159977714,8662.09448853621,6533.46895685726,69228.4088608549,135385571.619874,0.0982015265760567,96215998.1192389,135385571.619874,"MPA 2015"
"9","Atrina","MT",2023,359.467914245733,355.521959222093,1318.20737322273,1573.42665196274,17804.5490499415,32600331.6619712,0.0880710447325661,22065187.6840122,32600331.6619712,127.919939028575,124.975165214612,36.9574851430849,606.1107575024,5856.03959345363,12008364.9872103,0.0965120074343178,8127734.09695102,2023,1377.64533633101,1363.79662252851,8138.10228185132,8161.23741211962,69191.4250167841,168249887.275842,0.119085662640864,113878146.365179,168249887.275842,"MPA 2015"
"10","Atrina","MT",2024,354.310526093836,349.741474836822,1349.0639182641,1770.57081290958,17378.473104039,36761296.760588,0.10074401153978,23696659.6636034,36761296.760588,116.535187909727,113.133663144475,114.499228807228,616.065647437339,5351.07165005826,12345328.1967639,0.108364796500463,7957908.62926901,2024,1376.909357834,1360.49471310828,8124.39362126879,9868.7025835202,67430.7014098069,203536952.801372,0.144349830631368,131201734.555565,203536952.801372,"MPA 2015"
