"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1","Atrina","MT",2000,4944.50714,4797.479742,6910.488465,4.27,NA,NA,"No MPA",0.000863585
"2","Atrina","MT",2005,5928.219353,5357.893507,8122.445723,370.918,NA,NA,"No MPA",0.062568198
"3","Atrina","MT",2006,6965.954539,5896.695126,8977.253491,460.838,NA,NA,"No MPA",0.066155758
"4","Atrina","MT",2007,7848.262823,6479.536099,9689.750774,926.882,NA,NA,"No MPA",0.118100275
"5","Atrina","MT",2008,8416.005443,6897.491908,9700.748134,499.08,NA,NA,"No MPA",0.059301292
"6","Atrina","MT",2009,9003.08854,7248.849854,9745.703237,304.792,NA,NA,"No MPA",0.03385416
"7","Atrina","MT",2010,9520.642759,7652.768075,10777.3487,383.414,NA,NA,"No MPA",0.040271861
"8","Atrina","MT",2011,10281.93509,8300.821947,12099.45655,645.136,NA,NA,"No MPA",0.062744609
"9","Atrina","MT",2012,11026.56894,8899.760389,13457.40833,564.416,NA,NA,"No MPA",0.051186911
"10","Atrina","MT",2013,11734.9025,9425.084591,14681.37616,1025.9842,NA,NA,"No MPA",0.087430143
"11","Atrina","MT",2014,12183.99855,9688.050218,15634.8364,414.95,NA,NA,"No MPA",0.034056964
"12","Atrina","MT",2015,12751.52371,9882.359997,16670.23518,381.228,NA,NA,"No MPA",0.029896662
"13","Atrina","MT_20",2000,6228.786036,6057.564471,8721.199424,5.124,NA,NA,"No MPA",0.000822632
"14","Atrina","MT_20",2005,7357.062092,6763.472744,10117.02522,445.1016,NA,NA,"No MPA",0.060499911
"15","Atrina","MT_20",2006,8563.642419,7425.793778,11177.65901,553.0056,NA,NA,"No MPA",0.06457598
"16","Atrina","MT_20",2007,9781.554544,8158.00928,12104.14655,1112.2584,NA,NA,"No MPA",0.113709778
"17","Atrina","MT_20",2008,10604.44382,8667.065069,12164.41281,598.896,NA,NA,"No MPA",0.056475946
"18","Atrina","MT_20",2009,11336.22522,9125.112455,12283.34648,365.7504,NA,NA,"No MPA",0.032263861
"19","Atrina","MT_20",2010,12049.51885,9639.466643,13684.21747,460.0968,NA,NA,"No MPA",0.038183832
"20","Atrina","MT_20",2011,13043.01643,10446.33792,15419.56057,774.1632,NA,NA,"No MPA",0.059354614
"21","Atrina","MT_20",2012,14019.31085,11245.75335,17141.68798,677.2992,NA,NA,"No MPA",0.048311875
"22","Atrina","MT_20",2013,14925.00095,11901.75807,18776.06356,1231.18104,NA,NA,"No MPA",0.082491187
"23","Atrina","MT_20",2014,15621.66909,12172.717,20060.63755,497.94,NA,NA,"No MPA",0.031874955
"24","Atrina","MT_20",2015,16356.41648,12505.36604,21333.57609,457.4736,NA,NA,"No MPA",0.02796906
"25","Atrina","MT_40",2000,7354.156587,7148.082121,10282.57319,5.978,NA,NA,"No MPA",0.000812874
"26","Atrina","MT_40",2005,8706.265784,7981.760905,12076.98834,519.2852,NA,NA,"No MPA",0.059644997
"27","Atrina","MT_40",2006,10115.78406,8782.019533,13316.60662,645.1732,NA,NA,"No MPA",0.063778862
"28","Atrina","MT_40",2007,11575.0887,9691.912592,14433.36845,1297.6348,NA,NA,"No MPA",0.112105819
"29","Atrina","MT_40",2008,12565.54143,10313.61734,14425.89025,698.712,NA,NA,"No MPA",0.055605403
"30","Atrina","MT_40",2009,13433.31658,10830.8553,14514.40516,426.7088,NA,NA,"No MPA",0.031764963
"31","Atrina","MT_40",2010,14259.6762,11425.28503,16175.44762,536.7796,NA,NA,"No MPA",0.037643183
"32","Atrina","MT_40",2011,15475.37248,12350.04578,18206.79382,903.1904,NA,NA,"No MPA",0.05836308
"33","Atrina","MT_40",2012,16706.02736,13215.30987,20173.45122,790.1824,NA,NA,"No MPA",0.04729924
"34","Atrina","MT_40",2013,17812.22653,14016.63317,22041.25818,1436.37788,NA,NA,"No MPA",0.080639996
"35","Atrina","MT_40",2014,18560.15707,14437.89144,23764.53695,580.93,NA,NA,"No MPA",0.031299843
"36","Atrina","MT_40",2015,19444.86539,14722.355,25391.4319,533.7192,NA,NA,"No MPA",0.027447822
"37","Atrina","MT_60",2000,8226.517453,7998.892475,11507.60481,6.832,NA,NA,"No MPA",0.000830485
"38","Atrina","MT_60",2005,9762.923753,8946.093466,13385.68462,593.4688,NA,NA,"No MPA",0.06078802
"39","Atrina","MT_60",2006,11425.28817,9843.945642,14833.62523,737.3408,NA,NA,"No MPA",0.06453586
"40","Atrina","MT_60",2007,12982.7672,10796.95687,16065.23274,1483.0112,NA,NA,"No MPA",0.114229207
"41","Atrina","MT_60",2008,14015.69783,11513.43619,16114.74404,798.528,NA,NA,"No MPA",0.056973831
"42","Atrina","MT_60",2009,15030.61879,12104.87547,16240.64083,487.6672,NA,NA,"No MPA",0.032444918
"43","Atrina","MT_60",2010,15976.16593,12745.58367,18047.70416,613.4624,NA,NA,"No MPA",0.0383986
"44","Atrina","MT_60",2011,17263.24826,13752.87552,20292.98771,1032.2176,NA,NA,"No MPA",0.05979278
"45","Atrina","MT_60",2012,18554.63342,14856.72589,22607.60801,903.0656,NA,NA,"No MPA",0.048670625
"46","Atrina","MT_60",2013,19716.0088,15751.18155,24763.3076,1641.57472,NA,NA,"No MPA",0.083261006
"47","Atrina","MT_60",2014,20603.12012,16201.05822,26564.71471,663.92,NA,NA,"No MPA",0.032224245
"48","Atrina","MT_60",2015,21638.04951,16494.40382,28295.12114,609.9648,NA,NA,"No MPA",0.028189454
"49","Callinectes","MT",2005,3090.182656,1824.678392,3886.270792,1957.488,NA,NA,"No MPA",0.633453817
"50","Callinectes","MT",2006,2975.435115,1856.573538,3844.94911,1816.3144,NA,NA,"No MPA",0.610436568
"51","Callinectes","MT",2007,2927.737487,1854.536295,3803.150984,2215.014,NA,NA,"No MPA",0.756561683
"52","Callinectes","MT",2008,2760.436521,1850.793019,3578.022262,1647.474,NA,NA,"No MPA",0.596816477
"53","Callinectes","MT",2009,2664.008012,1856.490154,3378.744204,2326.338,NA,NA,"No MPA",0.873247374
"54","Callinectes","MT",2010,2342.338579,1739.959375,2872.972499,1866.6284,NA,NA,"No MPA",0.79690802
"55","Callinectes","MT",2011,2068.567721,1590.795679,2504.283847,1669.554,NA,NA,"No MPA",0.807106281
"56","Callinectes","MT",2012,1710.574609,1389.4407,2188.226874,1029.714,NA,NA,"No MPA",0.601969651
"57","Callinectes","MT",2013,1620.696942,1202.873447,2072.321964,1436.844,NA,NA,"No MPA",0.886559333
"58","Callinectes","MT",2014,1610.513924,818.792258,2181.917049,984.56694,NA,NA,"No MPA",0.611337118
"59","Callinectes","MT",2015,1814.644371,167.0461464,2518.925784,796.56,NA,NA,"No MPA",0.438962043
"60","Callinectes","MT_20",2005,3835.714469,2417.962771,4567.510873,2348.9856,NA,NA,"No MPA",0.612398451
"61","Callinectes","MT_20",2006,3615.471576,2367.360057,4601.098149,2179.57728,NA,NA,"No MPA",0.602847301
"62","Callinectes","MT_20",2007,3503.721101,2364.871543,4561.491243,2658.0168,NA,NA,"No MPA",0.758626821
"63","Callinectes","MT_20",2008,3308.898056,2280.153596,4231.896016,1976.9688,NA,NA,"No MPA",0.597470447
"64","Callinectes","MT_20",2009,3174.852444,2262.665287,4031.251698,2791.6056,NA,NA,"No MPA",0.879286723
"65","Callinectes","MT_20",2010,2790.699768,2109.472577,3548.207594,2239.95408,NA,NA,"No MPA",0.80264961
"66","Callinectes","MT_20",2011,2481.769022,1947.284855,2965.942519,2003.4648,NA,NA,"No MPA",0.80727287
"67","Callinectes","MT_20",2012,2048.915572,1659.161107,2572.724233,1235.6568,NA,NA,"No MPA",0.603078437
"68","Callinectes","MT_20",2013,1950.625623,1394.885011,2571.473479,1724.2128,NA,NA,"No MPA",0.883928099
"69","Callinectes","MT_20",2014,1925.431803,984.5814133,2579.738861,1181.480328,NA,NA,"No MPA",0.613618372
"70","Callinectes","MT_20",2015,2137.038218,220.1352203,2982.849045,955.872,NA,NA,"No MPA",0.44728821
"71","Callinectes","MT_40",2005,4375.627122,2545.643725,5473.518711,2740.4832,NA,NA,"No MPA",0.626306384
"72","Callinectes","MT_40",2006,4264.936542,2528.452644,5434.78735,2542.84016,NA,NA,"No MPA",0.596219928
"73","Callinectes","MT_40",2007,4151.904829,2625.652657,5319.730169,3101.0196,NA,NA,"No MPA",0.74689082
"74","Callinectes","MT_40",2008,3863.243374,2538.644918,5091.653001,2306.4636,NA,NA,"No MPA",0.597027776
"75","Callinectes","MT_40",2009,3704.534244,2479.080296,4821.25963,3256.8732,NA,NA,"No MPA",0.879158616
"76","Callinectes","MT_40",2010,3307.288967,2373.854182,4192.480799,2613.27976,NA,NA,"No MPA",0.790157675
"77","Callinectes","MT_40",2011,2969.829883,2223.764168,3530.231193,2337.3756,NA,NA,"No MPA",0.787040232
"78","Callinectes","MT_40",2012,2417.052936,1930.103671,3071.59767,1441.5996,NA,NA,"No MPA",0.596428642
"79","Callinectes","MT_40",2013,2287.699499,1650.328116,3015.841944,2011.5816,NA,NA,"No MPA",0.879303248
"80","Callinectes","MT_40",2014,2288.321143,1174.712266,3187.632917,1378.393716,NA,NA,"No MPA",0.602360259
"81","Callinectes","MT_40",2015,2612.351454,189.7123767,3573.953881,1115.184,NA,NA,"No MPA",0.426888962
"82","Callinectes","MT_60",2005,5276.609752,2903.126223,6217.435928,3131.9808,NA,NA,"No MPA",0.593559302
"83","Callinectes","MT_60",2006,4941.052378,3024.108243,6293.247857,2906.10304,NA,NA,"No MPA",0.588154672
"84","Callinectes","MT_60",2007,4794.423929,3068.1314,6154.274658,3544.0224,NA,NA,"No MPA",0.739196711
"85","Callinectes","MT_60",2008,4485.581853,2952.706314,5591.355343,2635.9584,NA,NA,"No MPA",0.587651388
"86","Callinectes","MT_60",2009,4296.680715,2972.763382,5383.413849,3722.1408,NA,NA,"No MPA",0.866282846
"87","Callinectes","MT_60",2010,3807.452649,2729.022044,4823.081459,2986.60544,NA,NA,"No MPA",0.784410396
"88","Callinectes","MT_60",2011,3335.325039,2584.68165,4011.545479,2671.2864,NA,NA,"No MPA",0.800907368
"89","Callinectes","MT_60",2012,2760.224046,2246.83597,3461.712739,1647.5424,NA,NA,"No MPA",0.596887199
"90","Callinectes","MT_60",2013,2617.773133,1945.047268,3372.02047,2298.9504,NA,NA,"No MPA",0.878208417
"91","Callinectes","MT_60",2014,2576.838447,1403.811231,3442.128306,1575.307104,NA,NA,"No MPA",0.611333282
"92","Callinectes","MT_60",2015,2866.750426,318.258464,4028.789084,1274.496,NA,NA,"No MPA",0.444578638
