"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Revenue_hi","Status"
"2560","Epinephelus","MT_20",2033,2048.94835989216,1994.82865056558,371.961507802949,1133.92073791002,7368.97057496102,2182058.27903007,0.142294070432874,906690.285061588,2710429.86219015,1.14955122442646,0.282689202706476,0.180379665024578,0.557757861194495,3.34793685960306,-279678.941173415,0.493908136951568,-116212.376789022,2033,11633.2175867412,11547.8352484705,3222.5019478263,2233.35622637712,47375.6334522782,4134244.62972444,0.0484135715520799,1717864.03592547,5385702.84454264,"MPA 2025"
"2561","Epinephelus","MT_20",2034,1844.66082301722,1790.07487036567,346.643668812758,1058.27053298041,6602.75775814182,1991214.61750799,0.147990967592477,787991.239855832,2543831.29265729,0.838082863816802,0.147933272647265,0.131702745626341,0.288644077093892,2.50084593696597,-277251.683272364,0.488434674328932,-109717.9057109,2034,11859.4550088163,11766.8018584054,3259.52112491756,2361.29988511651,48181.2015416683,4391866.88736141,0.0502345374281361,1738010.86202593,5689261.153621,"MPA 2025"
"2562","Epinephelus","MT_20",2035,1652.85618071309,1598.5992652791,320.510407951485,977.739019527538,5891.27223113178,1787939.91710524,0.153106292553302,673855.75076579,2362681.19911574,0.62603215434163,0.0782616197264155,0.0985250452932738,0.151007977470849,1.90059247017318,-274519.049880286,0.483015158959407,-103463.342748169,2035,12061.1113839714,11961.4100885443,3291.65887075996,2492.57090797311,48880.5882090281,4654689.3147606,0.0521644753390994,1754303.4487746,6000882.10199087,"MPA 2025"
"2563","Epinephelus","MT_40",2015,5850.18462954075,5850.18462954075,522.852493882307,670.677897737045,23222.2369161453,1366589.79362189,0.0286981647097741,1366589.79362189,1482525.65016619,4769.77207136751,4769.77207136751,0,718.964322408741,18335.1130475913,997932.253672479,0.0377328331594122,997932.253672479,2015,6985.89549616836,6985.89549616836,2309.68575070809,880.579349291536,29336.0569414166,1205527.45324601,0.031554122978409,1205527.45324601,2171334.19370961,"MPA 2025"
"2564","Epinephelus","MT_40",2016,5813.17976863601,5813.17976863601,525.37175072192,753.120917707734,22994.4877491594,1534968.76228778,0.0324310237823871,1461875.01170265,1666088.94987233,4589.79505759017,4589.79505759017,0,1207.9531218955,17127.1599256958,1704206.90649488,0.0658819565911646,1623054.1966618,2016,7343.64106779186,7343.64106779186,2406.6435599259,939.695834169071,30803.0046671734,1334982.38113355,0.0320321110654244,1271411.79155577,2314183.87107767,"MPA 2025"
"2565","Epinephelus","MT_40",2017,5756.16773940616,5756.16773940616,529.107896449788,841.70223006248,22681.8934155468,1716161.55158758,0.0366045218856092,1556609.11708624,1864336.947642,4287.41037884368,4287.41037884368,0,1913.86434506785,15213.2955806279,2776608.88712774,0.111744407909481,2518466.11077346,2017,7710.85938839591,7710.85938839591,2504.0082262416,1002.92738154688,32304.0855118681,1472678.53910695,0.0325594010189433,1335762.84726254,2466713.16661921,"MPA 2025"
"2566","Epinephelus","MT_40",2018,5677.91657598425,5677.91657598425,533.949211271554,935.526825141234,22280.3158016771,1908405.80210237,0.0412455348414608,1648552.68511165,2075649.65984109,3808.31624459483,3808.31624459483,0,2749.07176523045,12464.2238153975,4174832.42790717,0.18070192291084,3606377.21879466,2018,8086.62218975634,8086.62218975634,2601.37268203733,1070.52894148653,33834.9292524189,1619106.46443665,0.0331391192328671,1398645.04000574,2629504.18682788,"MPA 2025"
"2567","Epinephelus","MT_40",2019,5577.3903920118,5577.3903920118,539.681882599844,1033.23343918713,21786.7642450898,2108960.48754109,0.0463742726263044,1735047.01233834,2297408.85419205,3120.14617614395,3120.14617614395,0,3386.53011053716,9077.6937048603,5509216.66099099,0.271700040106281,4532446.18116195,2019,8469.83548198341,8469.83548198341,2698.30727510922,1142.7601692555,35390.4763582726,1774761.59261053,0.0337745694908998,1460100.75440627,2803149.38682883,"MPA 2025"
"2568","Epinephelus","MT_40",2020,5453.84054046682,5453.84054046682,545.977666953207,1132.94656188988,21199.7953501531,2313982.10091006,0.0520015982706205,1813065.52480269,2525863.36186704,2272.40233494818,2272.40233494818,0,3363.54010275172,5714.15360210858,5983254.47415972,0.370528045130102,4688036.44114362,2020,8859.23272211846,8859.23272211846,2794.36456406695,1219.88255577738,36964.9583665622,1940137.89022678,0.0344692324406148,1520148.8035496,2988245.25769631,"MPA 2025"
"2569","Epinephelus","MT_40",2021,5306.905698781,5306.905698781,552.38861548131,1232.2636281681,20519.9203374663,2518465.92985577,0.0581262039474924,1879318.05276315,2756058.10304508,1430.41354003075,1430.41354003075,41.8671975296852,2593.31190760627,3162.70889203199,5043884.91908963,0.453840076446198,3763824.58548797,2021,9253.36990148324,9253.36990148324,2889.08490340621,1302.15579882465,38551.8874711438,2115719.90009798,0.0352267622192847,1578782.76442362,3185384.3552367,"MPA 2025"
