,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
14,Cephalopholis,MT,0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,2015,229.74737,166.2964067,513.4598385,457.3430314,652.1149886,0.905695279,0.806710464,1.150270035,0.45284764,0.403355232,0.575135018,0.447449543,0.352311132,0.502352401,0.280649932,0.200684314,0.392479026,1.594333339,1.255340167,1.789960888,1.594333339,0.087442719
15,Cephalopholis,MT_20,0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,2015,275.696844,199.555688,620.7942778,549.7927359,787.2306137,0.90954896,0.80552194,1.153401073,0.45477448,0.40276097,0.576700537,0.444103391,0.35021103,0.50145596,0.282762719,0.203742736,0.392429969,1.570586788,1.23853325,1.773416103,1.570586788,0.087442719
16,Cephalopholis,MT_40,0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,2015,321.646318,232.8149693,700.8001139,631.6646353,904.8722308,0.890391954,0.802552822,1.149672978,0.445195977,0.401276411,0.574836489,0.458970128,0.355460481,0.509204252,0.280649932,0.200684314,0.392479026,1.635383002,1.266561792,1.814375113,1.635383002,0.087442719
17,Cephalopholis,MT_60,0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,2015,367.595792,266.0742507,842.6680088,739.1832624,1117.17,0.915561576,0.803125057,1.213808896,0.457780788,0.401562528,0.606904448,0.436228489,0.329041947,0.49729994,0.282762719,0.203742736,0.392429969,1.542736927,1.163668067,1.758718197,1.542736927,0.087442719
18,Dasyatis,MT,0.282239296,0.163449697,0.487361077,2179.55281,839.5433018,5658.374551,153.7888628,69.15548851,341.9976465,1089.776405,419.7716509,2829.187275,2015,99.2017,98.16716667,536.5987732,40.0876921,859.0842572,0.492393459,0.036785245,0.788312403,0.246196729,0.018392623,0.394156202,0.184871276,0.115473772,2.47461739,0.138972783,0.080481562,0.239973406,1.330269654,0.83090926,17.8064894,1.310032152,0.262842713
19,Dasyatis,MT_20,0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,2015,119.04204,117.8006,644.8904631,49.69597463,1030.435223,0.492752262,0.037972036,0.787341907,0.246376131,0.018986018,0.393670953,0.184592651,0.115525981,2.395406085,0.139074052,0.080540208,0.240148273,1.327297569,0.830679625,17.22396131,1.30805776,0.262842713
20,Dasyatis,MT_40,0.282239296,0.163449697,0.487361077,3038.427673,1167.772654,7905.684975,214.390922,95.98739364,478.8489996,1519.213837,583.8863269,3952.842488,2015,138.88238,137.4340333,721.6486668,55.809957,1197.17647,0.475014543,0.036736077,0.788023675,0.237507272,0.018368039,0.394011837,0.192451516,0.116008277,2.488487493,0.13406777,0.077640983,0.231503599,1.435479352,0.86529579,18.56141477,1.363747137,0.262842713
21,Dasyatis,MT_60,0.282239296,0.163449697,0.487361077,3465.711864,1321.176317,9091.261003,244.5400193,107.7499928,554.9867752,1732.855932,660.5881583,4545.630501,2015,158.72272,157.0674667,832.1905799,67.89008094,1359.751222,0.48024222,0.039178145,0.78468798,0.24012111,0.019589072,0.39234399,0.190728811,0.116729235,2.337936821,0.135543226,0.078495445,0.234051365,1.407143806,0.861195638,17.24864375,1.351539731,0.262842713
22,Epinephelus,MT,0.062038507,0.039696193,0.096955807,25301.96019,4836.329993,132370.866,392.423961,36.75302039,4190.038356,12650.98009,2418.164996,66185.433,2015,423.57876,241.1251533,16119.56166,13120.79355,19243.0622,1.274174928,1.037136527,1.521072839,0.637087464,0.518568263,0.760536419,0.026277313,0.022012025,0.032283014,0.031019254,0.019848096,0.048477904,0.847129103,0.709624574,1.040741153,0.847129103,0.250328157
23,Epinephelus,MT_20,0.062038507,0.039696193,0.096955807,31068.99277,5908.619693,163368.4958,481.8684843,44.68362193,5196.473028,15534.49639,2954.309847,81684.24792,2015,508.294512,289.350184,19850.97472,16166.03778,23680.12125,1.277864066,1.040654127,1.52435719,0.638932033,0.520327064,0.762178595,0.025605519,0.02146503,0.031442121,0.031019254,0.019848096,0.048477904,0.825471797,0.691990535,1.013632406,0.825471797,0.250328157
24,Epinephelus,MT_40,0.062038507,0.039696193,0.096955807,36551.51895,7007.578052,190652.6803,566.9004195,53.40645843,6017.550969,18275.75948,3503.789026,95326.34013,2015,593.010264,337.5752147,23370.06232,19054.07737,27906.95054,1.278746437,1.042587445,1.526992658,0.639373219,0.521293722,0.763496329,0.025374783,0.021249554,0.031122486,0.031019254,0.019848096,0.048477904,0.818033323,0.685044025,1.003328021,0.818033323,0.250328157
25,Epinephelus,MT_60,0.062038507,0.039696193,0.096955807,40965.99722,7885.354207,212826.575,635.3673302,60.32714831,6691.707724,20482.99861,3942.677103,106413.2875,2015,677.726016,385.8002453,26155.87706,21282.73948,31200.74969,1.276955467,1.039044131,1.523251077,0.638477734,0.519522065,0.761625538,0.025911041,0.021721466,0.031843928,0.031019254,0.019848096,0.048477904,0.835321241,0.700257523,1.026585873,0.835321241,0.250328157
