"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"1418","Octopus","MT_60",2017,6361.46494622723,2915.61221315794,11348.4640177254,1.47913323497279,0.478712079026548,5.44808251542951,"MPA"
"1419","Octopus","MT_60",2018,6972.10193493869,3351.57814530201,12321.8698206672,1.71741263837938,0.570064345188396,6.56077509353222,"MPA"
"1420","Octopus","MT_60",2019,7327.29709238249,3723.5545648674,12640.5168414639,1.88226397660454,0.655302753834415,7.12352795338167,"MPA"
"1421","Octopus","MT_60",2020,7508.60052850964,4014.36404258136,12719.4857983388,1.97815648956193,0.728030496380789,7.30776314352678,"MPA"
"1422","Octopus","MT_60",2021,7593.96860653073,4224.67752937869,12737.1236942779,2.02710443727896,0.784889190395385,7.35342628717452,"MPA"
"1423","Octopus","MT_60",2022,7632.48548422818,4367.45877604957,12740.9582802459,2.05015254908429,0.826009884552465,7.3636262337135,"MPA"
"1424","Octopus","MT_60",2023,7649.51176803957,4459.9354823885,12741.7868747756,2.0605517949815,0.853926984470052,7.36584395456382,"MPA"
"1425","Octopus","MT_60",2024,7656.96843094246,4517.90750993786,12741.9656834058,2.06514886162206,0.872008615713147,7.36632320350516,"MPA"
"1426","Octopus","MT_60",2025,7660.22061037306,4553.47808508372,12742.0042587812,2.06716219124982,0.883343831841162,7.36642663288011,"MPA"
"1427","Octopus","MT_60",2026,7661.63646013139,4575.00937529634,12742.0125803457,2.06804031096337,0.890299006002912,7.3664489468872,"MPA"
"1428","Octopus","MT_60",2027,7662.25236864086,4587.93382527464,12742.0143754681,2.06842261138307,0.894509108468506,7.36645376129,"MPA"
"1429","Octopus","MT_60",2028,7662.52020256636,4595.65253255506,12742.0147627097,2.06858891886424,0.897036309895941,7.36645479963276,"MPA"
"1430","Octopus","MT_60",2029,7662.63665534677,4600.24819267139,12742.0148462449,2.06866124059427,0.898545615754954,7.36645502379421,"MPA"
"1431","Octopus","MT_60",2030,7662.68728510181,4602.97941085027,12742.014864265,2.06869268623316,0.899444254724168,7.36645507206111,"MPA"
"1432","Octopus","MT_60",2031,7662.70929659386,4604.60081499451,12742.0148681523,2.06870635796284,0.899978324740004,7.36645508252627,"MPA"
"1433","Octopus","MT_60",2032,7662.71886606176,4605.56274742322,12742.0148689908,2.06871230189652,0.900295381752099,7.36645508475367,"MPA"
"1434","Octopus","MT_60",2033,7662.72302635337,4606.13321456653,12742.0148691717,2.06871488605342,0.900483484344741,7.36645508525159,"MPA"
"1435","Octopus","MT_60",2034,7662.72483502094,4606.47144874024,12742.0148692107,2.06871600952291,0.900595038268605,7.36645508534898,"MPA"
"1436","Octopus","MT_60",2035,7662.72562133001,4606.67196310284,12742.0148692192,2.06871649795308,0.900661180003409,7.36645508537576,"MPA"
"1437","Panulirus","MT",2016,162.250186973756,83.2677774469903,391.277760331607,6.09775779235818,1.84257546074217,21.0875863176085,"MPA"
"1438","Panulirus","MT",2017,181.872223001524,86.3581287377285,488.835910444769,6.90905578286131,1.91657059399001,27.0682476440752,"MPA"
"1439","Panulirus","MT",2018,201.26140216549,89.2329311647878,590.156855999841,7.73304492176023,1.98601140798534,33.7453185632895,"MPA"
"1440","Panulirus","MT",2019,219.863814888475,91.88564557785,686.649662350635,8.54675603802163,2.05062092798242,40.6754404213962,"MPA"
"1441","Panulirus","MT",2020,237.190917517693,94.3149817523411,770.271130153325,9.32744352878902,2.11025942696376,47.2827623625534,"MPA"
"1442","Panulirus","MT",2021,252.871776241249,96.5242219194843,836.227254109043,10.0550856798077,2.16490478451909,53.0265958430373,"MPA"
"1443","Panulirus","MT",2022,266.682167219277,98.5204265647959,884.0049256654,10.7144427602874,2.2146347577394,57.5786622346891,"MPA"
"1444","Panulirus","MT",2023,278.546293440749,100.313598352889,916.288665023449,11.2962105286004,2.25960875058096,60.8946078534884,"MPA"
"1445","Panulirus","MT",2024,288.515461430836,101.915868000998,937.001962666676,11.7971052086923,2.30004949448295,63.1476891875926,"MPA"
"1446","Panulirus","MT",2025,296.73346912259,103.340749124149,949.825784293151,12.2190396119156,2.33622553278143,64.6004648408058,"MPA"
"1447","Panulirus","MT",2026,303.399155556487,104.602491559249,957.583318321161,12.5677587700283,2.36843529213871,65.5036883753319,"MPA"
"1448","Panulirus","MT",2027,308.733758152946,105.715547048551,962.208941508393,12.851339615525,2.39699326479014,66.0519962100051,"MPA"
"1449","Panulirus","MT",2028,312.956766427109,106.694148808571,964.943194990655,13.0788610629022,2.42221855459596,66.3798971594944,"MPA"
"1450","Panulirus","MT",2029,316.270687363552,107.551997831121,966.551165406285,13.2594017835933,2.44442581129361,66.5742027047991,"MPA"
"1451","Panulirus","MT",2030,318.853251416926,108.30204349339,967.493982877832,13.4013933842559,2.46391840976677,66.6887128552237,"MPA"
"1452","Panulirus","MT",2031,320.854941985466,108.956343569219,968.045865906084,13.5122776782883,2.48098362521671,66.7559781195913,"MPA"
"1453","Panulirus","MT",2032,322.39985191491,109.525988292012,968.368615224002,13.5983863426681,2.49588950207612,66.7954155896209,"MPA"
"1454","Panulirus","MT",2033,323.588318012869,110.021074020128,968.557272680333,13.6649627803804,2.50888310180582,66.8185120330412,"MPA"
"1455","Panulirus","MT",2034,324.500279499553,110.450713718928,968.667523849262,13.7162622999425,2.52018982958632,66.8320297618615,"MPA"
"1456","Panulirus","MT",2035,325.198719503827,110.82307346823,968.731949028345,13.7556861651425,2.53001357127562,66.8399384669439,"MPA"
"1457","Panulirus","MT_20",2016,198.162118657471,101.866551642114,480.864276736257,7.32353271361221,2.20466319828476,25.4110796323665,"MPA"
"1458","Panulirus","MT_20",2017,222.290560760806,105.66469380207,601.200550077462,8.30466716185142,2.29370313234269,32.6479714062233,"MPA"
"1459","Panulirus","MT_20",2018,246.154009066416,109.19715593717,726.213703682724,9.30217315170934,2.37724997887629,40.7331921431323,"MPA"
"1460","Panulirus","MT_20",2019,269.066311659438,112.455828567858,845.244201723366,10.2881290570507,2.45496726571538,49.127379493347,"MPA"
"1461","Panulirus","MT_20",2020,290.420136739804,115.439118670873,948.313171010617,11.2347782306883,2.5266849484701,57.12869456174,"MPA"
"1462","Panulirus","MT_20",2021,309.752530731315,118.151106871866,1029.49206660626,12.1175997981079,2.5923759198815,64.0782547848622,"MPA"
"1463","Panulirus","MT_20",2022,326.781944086601,120.600557804025,1088.18132894114,12.9178568460501,2.65213452093677,69.5774705275839,"MPA"
"1464","Panulirus","MT_20",2023,341.411142152627,122.799878769449,1127.74554635416,13.6240443639124,2.70615433117079,73.5750665806492,"MPA"
"1465","Panulirus","MT_20",2024,353.701195958287,124.764106530396,1153.06593590194,14.2320238039809,2.75470581665331,76.2846975318351,"MPA"
"1466","Panulirus","MT_20",2025,363.828641474513,126.50998088354,1168.70163953668,14.7440325570992,2.79811495702058,78.0272996802047,"MPA"
"1467","Panulirus","MT_20",2026,372.038890295619,128.055141670898,1178.13598418898,15.16701912556,2.83674382191876,79.1078522510471,"MPA"
"1468","Panulirus","MT_20",2027,378.605522358438,129.417466306451,1183.74734225788,15.5108036305075,2.87097374084048,79.7621002646139,"MPA"
"1469","Panulirus","MT_20",2028,383.800140362441,130.61454946478,1187.05612814695,15.7864439324683,2.90119137394725,80.1523612379872,"MPA"
"1470","Panulirus","MT_20",2029,387.873344681521,131.663315773573,1188.99727668008,16.0050035319106,2.92777770932178,80.3830459648841,"MPA"
"1471","Panulirus","MT_20",2030,391.04500408888,132.579749826722,1190.13273968067,16.1767566152459,2.95109980639124,80.5186650035848,"MPA"
"1472","Panulirus","MT_20",2031,393.501176606956,133.378724794015,1190.79582067923,16.3107673607233,2.97150497613414,80.5981393135201,"MPA"
"1473","Panulirus","MT_20",2032,395.395182238771,134.073910410022,1191.18269086527,16.414742773089,2.98931702486669,80.6446246007655,"MPA"
"1474","Panulirus","MT_20",2033,396.850889827638,134.677742297313,1191.40830074904,16.4950601580171,3.004834174151,80.6717845976604,"MPA"
"1475","Panulirus","MT_20",2034,397.966901076816,135.201436691985,1191.53983952336,16.5568905159823,3.01832828877913,80.6876434353449,"MPA"
"1476","Panulirus","MT_20",2035,398.820832624315,135.655037153541,1191.61652512629,16.6043631860363,3.03004508415663,80.6969001963991,"MPA"
"1477","Panulirus","MT_40",2016,231.490995393362,118.923265923292,562.790680414842,8.54486427391093,2.57042279979468,29.6658445211666,"MPA"
