"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Status"
"885","Mycteroperca prionura","MT",2020,6.22228805237964,6.22228805237964,0.92222825247891,0.171421652457687,6.97309465240086,1.98030572279702,1.98030572279702,0.021121118058853,0.0452062382441516,1.95622060261172,19.8451669489488,19.8451669489488,7.28907118761282,0.652163915995966,26.4820742205657,"No MPA"
"886","Mycteroperca prionura","MT",2021,6.97309465240086,6.97309465240086,0.883682891018584,0.192106086699293,7.66467145672016,1.95622060261172,1.95622060261172,0.0253024711040481,0.0446564253194595,1.93686664839631,26.4820742205657,26.4820742205657,8.19874166702951,0.87026998925271,33.8105458983425,"No MPA"
"887","Mycteroperca prionura","MT",2022,7.66467145672016,7.66467145672016,0.819631842560161,0.211158762756693,8.27314453652362,1.93686664839631,1.93686664839631,0.0285832648308171,0.0442146150195869,1.92123529820754,33.8105458983425,33.8105458983425,8.31341519135695,1.11110267158485,41.0128584181146,"No MPA"
"888","Mycteroperca prionura","MT",2023,8.27314453652362,8.27314453652362,0.740639812716301,0.227921963035735,8.78586238620419,1.92123529820754,1.92123529820754,0.0311815057017267,0.0438577839845722,1.90855901992469,41.0128584181146,41.0128584181146,7.5162439148037,1.34778943512806,47.1813128977902,"No MPA"
"889","Mycteroperca prionura","MT",2024,8.78586238620419,8.78586238620419,0.657627854228856,0.242047143402977,9.20144309703007,1.90855901992469,1.90855901992469,0.0332547532010905,0.0435684110612368,1.89824536206455,47.1813128977902,47.1813128977902,6.11644966446585,1.55050092853382,51.7472616337223,"No MPA"
"890","Mycteroperca prionura","MT",2025,9.20144309703007,9.20144309703007,0.579302824625918,0.253496232802184,9.52724968885381,1.89824536206455,1.89824536206455,0.0349192508474721,0.0433329718212109,1.88983164109081,51.7472616337223,51.7472616337223,4.65419286758922,1.70054990597616,54.7009045953353,"No MPA"
"891","Mycteroperca prionura","MT",2026,9.52724968885381,9.52724968885381,0.510985122141784,0.262472079609962,9.77576273138563,1.88983164109081,1.88983164109081,0.036262279468881,0.0431409041669694,1.88295301639272,54.7009045953353,54.7009045953353,3.51518617838552,1.7976143129048,56.418476460816,"No MPA"
"892","Mycteroperca prionura","MT",2027,9.77576273138563,9.77576273138563,0.454790488320947,0.269318518741272,9.9612347009653,1.88295301639272,1.88295301639272,0.037350361700529,0.0429838795503588,1.87731949854289,56.418476460816,56.418476460816,2.78308971888762,1.85405820156937,57.3475079781343,"No MPA"
"893","Mycteroperca prionura","MT",2028,9.9612347009653,9.9612347009653,0.410547442722325,0.274428200460004,10.0973539432276,1.87731949854289,1.87731949854289,0.0382348492614478,0.0428552781192059,1.87269906968513,57.3475079781343,57.3475079781343,2.36572349945357,1.88458859891884,57.828642878669,"No MPA"
"894","Mycteroperca prionura","MT",2029,10.0973539432276,10.0973539432276,0.376824423819196,0.278178233445213,10.1960001336016,1.87269906968513,1.87269906968513,0.038955814410076,0.042749803391072,1.86890508070414,57.828642878669,57.828642878669,2.14367556714891,1.90039994591644,58.0719184999015,"No MPA"
"895","Mycteroperca prionura","MT",2030,10.1960001336016,10.1960001336016,0.351722465718692,0.280895898204577,10.2668267011157,1.86890508070414,1.86890508070414,0.0395448158453856,0.0426631945569934,1.86578670199253,58.0719184999015,58.0719184999015,2.02986960404883,1.90839461697249,58.1933934869778,"No MPA"
"896","Mycteroperca prionura","MT",2031,10.2668267011157,10.2668267011157,0.333356114935069,0.282847143010181,10.3173356730406,1.86578670199253,1.86578670199253,0.0400269010376494,0.0425920084924633,1.86322159453771,58.1933934869778,58.1933934869778,1.97265757889195,1.91238660169457,58.2536644641752,"No MPA"
"897","Mycteroperca prionura","MT",2032,10.3173356730406,10.3173356730406,0.32008302672711,0.284238645839754,10.353180053928,1.86322159453771,1.86322159453771,0.040422080064608,0.0425334524536712,1.86111022214865,58.2536644641752,58.2536644641752,1.94417605124167,1.91436726311259,58.2834732523043,"No MPA"
"898","Mycteroperca prionura","MT",2033,10.353180053928,10.353180053928,0.310575019494181,0.285226144803368,10.3785289286188,1.86111022214865,1.86111022214865,0.040746426824344,0.0424852542375356,1.85937139473546,58.2834732523043,58.2834732523043,1.93006632750702,1.91534685759256,58.2981927222188,"No MPA"
"899","Mycteroperca prionura","MT",2034,10.3785289286188,10.3785289286188,0.303806637945877,0.285924496591466,10.3964110699732,1.85937139473546,1.85937139473546,0.0410129129821139,0.0424455604440968,1.85793874727348,58.2981927222188,58.2981927222188,1.923093299519,1.91583057774294,58.3054554439948,"No MPA"
"900","Mycteroperca prionura","MT",2035,10.3964110699732,10.3964110699732,0.299009819430745,0.286417142736204,10.4090037466677,1.85793874727348,1.85793874727348,0.0412320471501938,0.042412856098631,1.85675793832504,58.3054554439948,58.3054554439948,1.91965135540597,1.91606924971211,58.3090375496887,"No MPA"
"901","Mycteroperca prionura","MT_20",2016,3.47473161829776,3.47473161829776,0.848696119936065,0.10862464557534,4.21480309265848,2.62149286395469,2.62149286395469,0,0.0592323267645513,2.54833873648888,5.78922656844008,5.78922656844008,2.88340558052552,0.188409881372071,8.48422226759353,"No MPA"
"902","Mycteroperca prionura","MT_20",2017,4.21480309265848,4.21480309265848,0.9558173553783,0.131760245798253,5.03886020223853,2.54833873648888,2.54833873648888,0.000868294007564046,0.0575794177515954,2.49162761274485,8.48422226759353,8.48422226759353,4.06072640604069,0.276118284899377,12.2688303887348,"No MPA"
"903","Mycteroperca prionura","MT_20",2018,5.03886020223853,5.03886020223853,1.04466581906342,0.157521346595392,5.92600467470656,2.49162761274485,2.49162761274485,0.0117650362757152,0.0562980364978147,2.44709461252275,12.2688303887348,12.2688303887348,5.53712925864435,0.39928803110196,17.4066716162772,"No MPA"
"904","Mycteroperca prionura","MT_20",2019,5.92600467470656,5.92600467470656,1.10447719241891,0.185254640697447,6.84522722642802,2.44709461252275,2.44709461252275,0.0199735061000729,0.0552918185304761,2.41177630009235,17.4066716162772,17.4066716162772,7.21070905321864,0.566498632508882,24.050882036987,"No MPA"
"905","Mycteroperca prionura","MT_20",2020,6.84522722642802,6.84522722642802,1.12725111598317,0.213990737424974,7.75848760498622,2.41177630009235,2.41177630009235,0.0262656245526759,0.0544938053634693,2.38354811928155,24.050882036987,24.050882036987,8.81019721589019,0.782733889909477,32.0783453629677,"No MPA"
"906","Mycteroperca prionura","MT_20",2021,7.75848760498622,7.75848760498622,1.11036835653762,0.242540448837646,8.62631551268619,2.38354811928155,2.38354811928155,0.0311560273349501,0.0538559928968615,2.36084815371964,32.0783453629677,32.0783453629677,9.89298171673278,1.04398699428991,40.9273400854106,"No MPA"
"907","Mycteroperca prionura","MT_20",2022,8.62631551268619,8.62631551268619,1.05783494053086,0.269669881913251,9.4144805713038,2.36084815371964,2.36084815371964,0.034999382664026,0.0533430898116786,2.34250444657199,40.9273400854106,40.9273400854106,10.0091640724732,1.33197676739821,49.6045273904855,"No MPA"
"908","Mycteroperca prionura","MT_20",2023,9.4144805713038,9.4144805713038,0.979310664597147,0.294308950351333,10.0994822855496,2.34250444657199,2.34250444657199,0.0380470120749428,0.0529286158793697,2.32762284276756,49.6045273904855,49.6045273904855,9.02592092253166,1.61437508286661,57.0160732301506,"No MPA"
"909","Mycteroperca prionura","MT_20",2024,10.0994822855496,10.0994822855496,0.88724101961197,0.315722997996516,10.6710003071651,2.32762284276756,2.32762284276756,0.040481249145514,0.0525923677699643,2.31551172414311,57.0160732301506,57.0160732301506,7.3258153776331,1.85558320556256,62.4863054022211,"No MPA"
"910","Mycteroperca prionura","MT_20",2025,10.6710003071651,10.6710003071651,0.793470940305952,0.333589397292215,11.1308818501788,2.31551172414311,2.31551172414311,0.0424370531608659,0.052318718451398,2.30563005885258,62.4863054022211,62.4863054022211,5.56263942220831,2.03361144170658,66.0153333827228,"No MPA"
"911","Mycteroperca prionura","MT_20",2026,11.1308818501788,11.1308818501788,0.706819441278413,0.347965894559932,11.4897353968973,2.30563005885258,2.30563005885258,0.0440160375267805,0.052095443371952,2.29755065300741,66.0153333827228,66.0153333827228,4.19603280330486,2.14846335418653,68.0629028318412,"No MPA"
"912","Mycteroperca prionura","MT_20",2027,11.4897353968973,11.4897353968973,0.632267570322907,0.359184124802659,11.7628188424175,2.29755065300741,2.29755065300741,0.0452958295834612,0.0519128901353345,2.29093359245554,68.0629028318412,68.0629028318412,3.32073822348617,2.21510132602072,69.1685397293066,"No MPA"
