"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Anisotremus interruptus","MT",0.588604969678355,0.484445665234005,0.715159274183424,24.2437763060763,16.2566961720922,36.154990125735,3.56750180438175,2.38751170340454,5.33068345010352,12.1218881530382,8.12834808604611,18.0774950628675,2005,1.4373,1.4373,5.77374009410418,4.77790753423577,7.78309224782425,0.476306992871987,0.394155388493521,0.64206930055476,0.238153496435994,0.197077694246761,0.32103465027738,0.248937426446974,0.184669531625016,0.300822062733765,0.280356663097004,0.230744858017478,0.34063536331082,0.887931193420005,0.658694997953803,1.07299772871701,0.845855673230235
"3","Anisotremus interruptus","MT_20",0.588604969678355,0.484445665234005,0.715159274183424,28.9583919739626,19.3093426968594,43.4291564908658,4.26126335744204,2.82058567822913,6.43779961787181,14.4791959869813,9.65467134842968,21.7145782454329,2005,1.72476,1.72476,6.89714036627025,5.70434611787806,9.38808528412795,0.476348298101061,0.393968430498973,0.648384433263357,0.23817414905053,0.196984215249487,0.324192216631678,0.250068855845643,0.183717973133029,0.30235893200702,0.280380975560111,0.230764868156655,0.340664903128464,0.891889527618933,0.655244075551201,1.07838604742353,0.849700117150875
"4","Anisotremus interruptus","MT_40",0.588604969678355,0.484445665234005,0.715159274183424,33.8065391282452,22.5325917885209,50.7212884587832,4.97467423462772,3.29008900770397,7.5217976421675,16.9032695641226,11.2662958942604,25.3606442293916,2005,2.01222,2.01222,8.06466887358429,6.6554041826484,10.8849229563745,0.477107037960375,0.393734724362118,0.643953698725714,0.238553518980187,0.196867362181059,0.321976849362857,0.249510554189149,0.184863044788166,0.302343771283816,0.280827573611996,0.231132436392539,0.341207522975545,0.888483103635273,0.658279535768025,1.07661711204167,0.847803083706531
"5","Anisotremus interruptus","MT_60",0.588604969678355,0.484445665234005,0.715159274183424,38.6006386022184,25.6911359056884,57.997019126319,5.68013192850597,3.74613177996668,8.61259043202156,19.3003193011092,12.8455679528442,28.9985095631595,2005,2.29968,2.29968,9.20778520092285,7.60155456429917,12.4568922817362,0.47707942326082,0.393856414793216,0.64542415528951,0.23853971163041,0.196928207396608,0.322712077644755,0.249753871296815,0.184611052900545,0.302527592290199,0.280811319462602,0.231119058571044,0.341187774067055,0.889401010524707,0.65742026800715,1.07733403649524,0.848629842297435
"6","Balistes polylepis","MT",0.920811437856805,0.763284077863715,1.11084945785979,280.063300057858,195.973918194868,400.234137081981,64.4713725042995,46.2554600572121,89.8609130132316,140.031650028929,97.9869590974341,200.117068540991,2000,10.449,10.449,112.20268133905,55.7903707398807,169.031111607597,0.801266580204336,0.398412578358928,1.20709219360535,0.400633290102168,0.199206289179464,0.603546096802676,0.0931261167317879,0.0618170223257905,0.187290384728179,0.460405718928402,0.381642038931857,0.555424728929894,0.202269678466505,0.134266408483522,0.406794218725386,0.202269678466505
"7","Balistes polylepis","MT_20",0.920811437856805,0.763284077863715,1.11084945785979,335.626445408128,234.927295726326,479.489241592935,77.2621674447568,55.4661512443317,107.623160870959,167.813222704064,117.463647863163,239.744620796467,2000,12.5388,12.5388,133.416074373647,66.9337543527725,202.733780334469,0.795027186915562,0.398858643402666,1.20809181224049,0.397513593457781,0.199429321701333,0.604045906120243,0.0939826783156854,0.061848597600822,0.187331490983079,0.460405718928402,0.381642038931857,0.555424728929894,0.204130127954168,0.134334989897117,0.406883501401968,0.204130127954168
"8","Balistes polylepis","MT_40",0.920811437856805,0.763284077863715,1.11084945785979,392.24400060527,276.28664845615,556.868588730393,90.2956905470109,65.6253573352021,124.24026416673,196.122000302635,138.143324228075,278.434294365197,2000,14.6286,14.6286,156.287752048039,78.1245642875367,237.019516333281,0.796890465153693,0.398346764600519,1.20853099584716,0.398445232576846,0.19917338230026,0.604265497923582,0.0936004249104785,0.0617189682364815,0.187247124299594,0.460405718928402,0.381642038931857,0.555424728929894,0.203299874572223,0.134053435261692,0.406700257189274,0.203299874572223
"9","Balistes polylepis","MT_60",0.920811437856805,0.763284077863715,1.11084945785979,445.139655973284,311.696764091017,635.711807589228,102.472421665961,73.617183740832,142.637855300926,222.569827986642,155.848382045508,317.855903794614,2000,16.7184,16.7184,178.290423585956,88.7474683800204,268.527134281289,0.801053876883332,0.398739888433336,1.20648488930587,0.400526938441666,0.199369944216668,0.603242444652934,0.0937706000341621,0.0622596299057324,0.18838171167217,0.460405718928402,0.381642038931857,0.555424728929894,0.203669494489369,0.135227750972864,0.40916457795231,0.203669494489369
"10","Lutjanus argentiventris","MT",0.378136514156056,0.307547725161866,0.464926941868411,3.89288121018246,2.02162161462396,7.49622184832573,0.3680101327105,0.152750563116479,0.886618386305568,1.94644060509123,1.01081080731198,3.74811092416287,2009,0.1628,0.1628,1.40447423191864,0.772834553222881,2.33397213263994,0.721560282006556,0.397050159764139,1.19909753554003,0.360780141003278,0.19852507988207,0.599548767770015,0.115915263021665,0.0697523323964704,0.210653107215626,0.189068257078028,0.153773862580933,0.232463470934206,0.613086854520625,0.368926722414773,1.11416432600154,0.613086854520625
"11","Lutjanus argentiventris","MT_20",0.378136514156056,0.307547725161866,0.464926941868411,4.66522361226752,2.4089043258054,9.03494220144326,0.441022848625335,0.181017319787514,1.0744891883159,2.33261180613376,1.2044521629027,4.51747110072163,2009,0.19536,0.19536,1.69166510735122,0.927305072099823,2.8009040938977,0.725223589670119,0.397539388963655,1.20075877457729,0.36261179483506,0.198769694481828,0.600379387288647,0.115483850291084,0.0697489072994783,0.210675004243878,0.189068257078028,0.153773862580933,0.232463470934206,0.610805071543155,0.368908606750911,1.11428014146729,0.610805071543155
