"","Species","CommonName","Catch","r","r_lo","r_hi","k","k_lo","k_hi","msy","msy_lo","msy_hi","bmsy","bmsy_lo","bmsy_hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
<<<<<<< HEAD
"1","Octopus sp","Octopus",0,0.565525438699537,0.407485471376748,0.784859938038403,1203.81121841692,725.581167726949,1997.24236797142,170.196466851664,119.946367380838,241.49824593535,601.905609208462,362.790583863474,998.621183985711,2015,121.29631,143.93754,559.36546097157,258.166698070868,717.415668561673,0.929324220299534,0.428915587629048,1.19190726516922,0.464662110149767,0.214457793814524,0.595953632584611,0.216846263244997,0.169073962718411,0.469837166863031,0.282762719349769,0.203742735688374,0.392429969019201,0.766884205045307,0.597935835060603,1.66159516340574,0.766884205045307
"2","Octopus sp","Octopus",20,0.565525438699537,0.407485471376748,0.784859938038403,1454.42314376909,874.865482789314,2417.91077913699,205.628321608694,144.344537543729,292.931117222215,727.211571884546,437.432741394657,1208.9553895685,2015,145.555572,172.725048,680.655248024741,311.234133108421,867.359304876614,0.935979671309196,0.427982921533918,1.19271933837477,0.467989835654598,0.213991460766959,0.596359669187386,0.213846249510897,0.167814619825524,0.467672265076705,0.282762719349769,0.203742735688374,0.392429969019201,0.756274554165592,0.593482125972706,1.65393891440904,0.756274554165592
"3","Octopus sp","Octopus",40,0.565525438699537,0.407485471376748,0.784859938038403,1669.12423522668,1002.83443350594,2778.10136901781,235.983053842649,165.271806942125,336.947981214991,834.562117613339,501.417216752968,1389.05068450891,2015,169.814834,201.512556,756.418372392147,352.935031970018,993.588239829301,0.906365573548119,0.422898457192537,1.19055037229672,0.45318278677406,0.211449228596269,0.595275186148361,0.224498558202607,0.170910672241022,0.481150406215345,0.282762719349769,0.203742735688374,0.392429969019201,0.793946807128099,0.60443142092438,1.70160482018911,0.793946807128099
"4","Octopus sp","Octopus",60,0.565525438699537,0.407485471376748,0.784859938038403,1936.02502408312,1166.16927122238,3214.10706521805,273.717850269472,192.662318216835,388.874494242405,968.012512041559,583.084635611191,1607.05353260902,2015,194.074096,230.300064,916.157134180882,416.18276749572,1154.90149991985,0.94643108718573,0.429935318313171,1.19306464074946,0.473215543592865,0.214967659156585,0.596532320374732,0.211834944857486,0.168043851370415,0.466319394163757,0.282762719349769,0.203742735688374,0.392429969019201,0.749161506667551,0.594292811148664,1.64915444028863,0.749161506667551
"5","Anisotremus interruptus","Burrito grunt",0,0.282239296140523,0.163449696933239,0.487361076713619,118.557263034633,30.5014792267714,460.824359165059,8.36537961781045,1.70542570819753,41.0334943432043,59.2786315173167,15.2507396133857,230.412179582529,2015,0.9207,3.59266666666667,60.5359654496943,47.9353773551242,79.9742462847924,1.02121057622611,0.808645141228018,1.34912436805209,0.510605288113055,0.404322570614009,0.674562184026043,0.0152091404367724,0.0115124561064488,0.0192071086283329,0.141119648070262,0.0817248484666194,0.24368053835681,0.107774790007979,0.0815793992110646,0.136105134125405,0.107774790007979
"6","Anisotremus interruptus","Burrito grunt",20,0.282239296140523,0.163449696933239,0.487361076713619,140.108188101927,36.3473300767611,540.075552502706,9.88600909835297,2.04859462662288,47.707425677393,70.0540940509636,18.1736650383806,270.037776251353,2015,1.10484,4.3112,71.2472140329363,56.708527142697,95.0292552414767,1.01703140977178,0.809496260153506,1.35651251406298,0.50851570488589,0.404748130076753,0.678256257031488,0.0155071326647138,0.0116263144143613,0.0194827842595853,0.141119648070262,0.0817248484666194,0.24368053835681,0.109886418204451,0.0823862202984854,0.13805862277863,0.109886418204451
"7","Anisotremus interruptus","Burrito grunt",40,0.282239296140523,0.163449696933239,0.487361076713619,166.779400807293,43.0439916105176,646.207925726925,11.7679251736472,2.41405265095814,57.3658005502056,83.3897004036466,21.5219958052588,323.103962863462,2015,1.28898,5.02973333333333,85.3187430219504,67.4437213079777,113.10246793671,1.02313286423822,0.808777594613212,1.35631219909941,0.511566432119112,0.404388797306606,0.678156099549703,0.0151078175128339,0.0113965682934636,0.0191119347361328,0.141119648070262,0.0817248484666194,0.24368053835681,0.107056796976364,0.0807581966742818,0.135430714273162,0.107056796976364
"8","Anisotremus interruptus","Burrito grunt",60,0.565525438699537,0.407485471376748,0.784859938038403,41.5604702940985,23.7312248114297,72.7848100884677,5.87587579890726,3.72454179348931,9.26984265944796,20.7802351470493,11.8656124057149,36.3924050442339,2015,1.47312,5.74826666666667,21.3147939452162,16.8202015355898,29.2016428344359,1.02572438638852,0.809432685268638,1.40526046157771,0.512862193194259,0.404716342634319,0.702630230788857,0.0691125611528898,0.0504464768763911,0.0875804012742077,0.282762719349769,0.203742735688374,0.392429969019201,0.244418929453708,0.178405685842872,0.309731075849053,0.244418929453708
"9","Balistes polylepis","Finescale triggerfish",0,0.282239296140523,0.163449696933239,0.487361076713619,1549.91471033222,464.798168478215,5168.34138389425,109.361709230502,30.1077033102129,397.239979502519,774.95735516611,232.399084239107,2584.17069194712,2015,87.38358,64.0524766666667,724.16643629434,623.88823590498,940.204564393924,0.93445972409555,0.805061377566062,1.21323393877898,0.467229862047775,0.402530688783031,0.606616969389492,0.12066781284031,0.0929410293347484,0.140062875000754,0.141119648070262,0.0817248484666194,0.24368053835681,0.855074502313323,0.658597371844878,0.992511510027421,0.855074502313323
